Date,Application,Version,Environment,Content
02/09,CTOaaS,0.160,UAT,0.159 to 0.160 https://jira.ship.gov.sg/browse/CTOAAQZASF-960 https://jira.ship.gov.sg/browse/CTOAAQZASF-990
02/09,CTOaaS,0.161,UAT,0.160 to 0.161 https://jira.ship.gov.sg/browse/CTOAAQZASF-960 https://jira.ship.gov.sg/browse/CTOAAQZASF-990
02/09,CTOaaS,0.161,PROD,0.157 to 0.161 https://jira.ship.gov.sg/browse/CTOAAQZASF-960 https://jira.ship.gov.sg/browse/CTOAAQZASF-990
03/09,CTOaaS,0.162,UAT,0.161 to 0.162 https://jira.ship.gov.sg/browse/CTOAAQZASF-960 https://jira.ship.gov.sg/browse/CTOAAQZASF-990
03/09,CTOaaS,0.162,PROD,0.161 to 0.162 https://jira.ship.gov.sg/browse/CTOAAQZASF-960 https://jira.ship.gov.sg/browse/CTOAAQZASF-990
06/09,CTOaaS,0.163,UAT,0.162 to 0.163 https://jira.ship.gov.sg/browse/CTOAAQZASF-990 https://jira.ship.gov.sg/browse/CTOAAQZASF-987 https://jira.ship.gov.sg/browse/CTOAAQZASF-1001
09/09,CTOaaS,0.164,UAT,0.163 to 0.164 https://jira.ship.gov.sg/browse/CTOAAQZASF-990 https://jira.ship.gov.sg/browse/CTOAAQZASF-987 https://jira.ship.gov.sg/browse/CTOAAQZASF-1001
09/09,CTOaaS,0.165,UAT,0.164 to 0.165 https://jira.ship.gov.sg/browse/CTOAAQZASF-990 https://jira.ship.gov.sg/browse/CTOAAQZASF-987 https://jira.ship.gov.sg/browse/CTOAAQZASF-1001
09/09,CTOaaS,0.165,PROD,"0.162 to 0.165 https://jira.ship.gov.sg/browse/CTOAAQZASF-990 https://jira.ship.gov.sg/browse/CTOAAQZASF-987
https://jira.ship.gov.sg/browse/CTOAAQZASF-1001"
30/09,CTOaaS,0.166,UAT,0.165 to 0.166 https://jira.ship.gov.sg/browse/CTOAAQZASF-975 https://jira.ship.gov.sg/browse/CTOAAQZASF-949 https://jira.ship.gov.sg/browse/CTOAAQZASF-1006 https://jira.ship.gov.sg/browse/CTOAAQZASF-1010
